Dataset Summary:
X Data
  total size: 49987 units
  batch size: 4999 units
  num. batches: 10
Allocation Model:  DP mixture with K=0. Concentration gamma0= 3.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[1. 0.]
   [0. 1.]] ...
Initialization:
  initname = bregmankmeans
  K = 10 (number of clusters)
  seed = 1607680
  elapsed_time: 0.6 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: Model Generation 2\1
    0.100/200 after      0 sec. |   5437.8 MiB | K   10 | loss  2.627817569e-01 |  
    0.200/200 after      0 sec. |   5437.8 MiB | K   10 | loss  1.728822963e-01 |  
    0.300/200 after      0 sec. |   5437.8 MiB | K   10 | loss  1.280141510e-01 |  
    1.000/200 after      1 sec. |   5437.8 MiB | K   10 | loss -4.678731870e-03 |  
    2.000/200 after      3 sec. |   5437.9 MiB | K   10 | loss -3.576394560e-02 | Ndiff  658.712 
    3.000/200 after      4 sec. |   5437.9 MiB | K   10 | loss -3.859840868e-02 | Ndiff   36.592 
    4.000/200 after     12 sec. |   5438.8 MiB | K   10 | loss -3.995663884e-02 | Ndiff   51.093 
    5.000/200 after     19 sec. |   5438.8 MiB | K   10 | loss -4.085400585e-02 | Ndiff   77.590 
    6.000/200 after     26 sec. |   5438.8 MiB | K   10 | loss -4.159198681e-02 | Ndiff   82.050 
    7.000/200 after     34 sec. |   5438.8 MiB | K   10 | loss -4.211597705e-02 | Ndiff   44.111 
    8.000/200 after     42 sec. |   5438.8 MiB | K   10 | loss -4.249404577e-02 | Ndiff   50.470 
    9.000/200 after     48 sec. |   5438.8 MiB | K   10 | loss -4.285408635e-02 | Ndiff  137.231 
   10.000/200 after     56 sec. |   5438.8 MiB | K   10 | loss -4.320360921e-02 | Ndiff   44.103 
   11.000/200 after     63 sec. |   5438.8 MiB | K   10 | loss -4.351194752e-02 | Ndiff   73.351 
   12.000/200 after     71 sec. |   5438.8 MiB | K   10 | loss -4.372391455e-02 | Ndiff   37.500 
   13.000/200 after     78 sec. |   5438.8 MiB | K   10 | loss -4.385407153e-02 | Ndiff  243.291 
   14.000/200 after     86 sec. |   5438.8 MiB | K   10 | loss -4.394913032e-02 | Ndiff   30.148 
   15.000/200 after     93 sec. |   5438.8 MiB | K   10 | loss -4.403521046e-02 | Ndiff   53.344 
   16.000/200 after    101 sec. |   5438.6 MiB | K   10 | loss -4.411165803e-02 | Ndiff   24.187 
   17.000/200 after    108 sec. |   5438.6 MiB | K   10 | loss -4.417631806e-02 | Ndiff   24.375 
   18.000/200 after    115 sec. |   5438.6 MiB | K   10 | loss -4.423095395e-02 | Ndiff   21.906 
   19.000/200 after    122 sec. |   5438.6 MiB | K   10 | loss -4.428600724e-02 | Ndiff   23.962 
   20.000/200 after    130 sec. |   5438.6 MiB | K   10 | loss -4.435541250e-02 | Ndiff   23.147 
   21.000/200 after    138 sec. |   5438.6 MiB | K   10 | loss -4.450273566e-02 | Ndiff   22.966 
   22.000/200 after    145 sec. |   5438.6 MiB | K   10 | loss -4.465040750e-02 | Ndiff   22.506 
   23.000/200 after    152 sec. |   5438.6 MiB | K   10 | loss -4.473486354e-02 | Ndiff   21.456 
   24.000/200 after    159 sec. |   5438.6 MiB | K   10 | loss -4.492622497e-02 | Ndiff   29.044 
   25.000/200 after    166 sec. |   5438.6 MiB | K   10 | loss -4.520708050e-02 | Ndiff   40.475 
   26.000/200 after    173 sec. |   5438.6 MiB | K   10 | loss -4.540568070e-02 | Ndiff   37.742 
   27.000/200 after    181 sec. |   5438.6 MiB | K   10 | loss -4.554359008e-02 | Ndiff   34.655 
   28.000/200 after    187 sec. |   5438.6 MiB | K   10 | loss -4.565323275e-02 | Ndiff   85.178 
   29.000/200 after    195 sec. |   5438.6 MiB | K   10 | loss -4.572596656e-02 | Ndiff   25.575 
   30.000/200 after    202 sec. |   5438.6 MiB | K   10 | loss -4.579569540e-02 | Ndiff   30.701 
   31.000/200 after    209 sec. |   5438.6 MiB | K   10 | loss -4.588651917e-02 | Ndiff   23.238 
   32.000/200 after    217 sec. |   5438.6 MiB | K   10 | loss -4.596324137e-02 | Ndiff   23.863 
